ComplexName	GO description	FunCat description	subunits(Gene name)
Par-3-KIF3A-aPKC complex	cytoskeleton-dependent transport;directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	cytoskeleton-dependent intracellular transport;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	PRKCI;KIF3A;PARD3;
"SNARE complex (Stx5, Gosr1, GS15)"	vesicle fusion;synaptic vesicle exocytosis;Golgi	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus	BET1L;STX5;GOSR1;
RET-Rai complex	transmembrane signal transduction	cell surface receptor signaling pathway	RET;SHC3;
SHC3-GAB1 complex	transmembrane signal transduction	cell surface receptor signaling pathway	GAB1;SHC3;
KIF3A/B-PAR-3-aPKC-PAR-6 complex	neurogenesis;neuron	neurogenesis;generation of neurons;neuron differentiation;establishment of cell polarity	KIF3B;PRKCI;PARD3;PARD6A;KIF3A;
ADAR1-CDK2 complex	"mitotic cell cycle;mitotic cell cycle and cell cycle control;modification by phosphorylation, dephosphorylation, autophosphorylation"	mitotic cell cycle;regulation of cell cycle;protein phosphorylation;protein dephosphorylation;protein autophosphorylation	CDK2;ADAR;
"SNARE complex (Stx5, Gosr1, Bet1, Gef2)"	vesicle fusion;synaptic vesicle exocytosis;Golgi	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus	GABARAPL2;STX5;BET1;GOSR1;
ARC92-Mediator complex	transcription activation;protein binding;regulation by binding / dissociation;regulator of transcription factor;nucleus	"positive regulation of transcription, DNA-templated;protein binding;regulation of binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"	MED7;MED14;MED6;MED26;CDK8;MED1;MED25;MED12;MED15;MED17;MED13;MED23;MED16;
CRSP-Mediator 2 complex	transcription activation;regulation by binding / dissociation;protein binding;regulator of transcription factor;nucleus	"positive regulation of transcription, DNA-templated;regulation of binding;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"	MED7;MED14;MED24;MED6;MED15;MED18;MED4;MED17;MED23;MED16;
Par3-Apc-Kif3a complex	cytoskeleton-dependent transport;directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	cytoskeleton-dependent intracellular transport;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	APC;KIF3A;PARD3;
PALS1-PATJ-CRB3-PAR3-PAR6-aPKC-14-3-3 zeta complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	YWHAZ;PRKCI;PATJ;CRB3;PARD3;MPP5;PARD6A;
"SNARE complex (SNAP23, STX1A)"	REGULATION OF METABOLISM AND PROTEIN FUNCTION;chloride transport;vesicle fusion;synaptic vesicle exocytosis	regulation of biological process;chloride transport;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP23;STX1A;
PALS1-Par3-aPKC-14-3-3 zeta complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	YWHAZ;PRKCI;PARD3;MPP5;
CERF complex (CECR2-containing remodeling factor complex)	DNA conformation modification (e.g. chromatin);neurogenesis;organization of chromosome structure;nucleus	DNA topological change;neurogenesis;generation of neurons;chromosome organization;nucleus	SMARCA1;CECR2;
PAR3-PAR6-PALS1 complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	MPP5;PARD3;PARD6A;
PAR3-PATJ-PALS1 complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);eukaryotic plasma membrane / membrane attached;cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;plasma membrane;cell junction	PATJ;PARD3;MPP5;
Remodeling and spacing factor (RSF) complex	nucleotide/nucleoside/nucleobase metabolism;DNA conformation modification (e.g. chromatin);transcription initiation;organization of chromosome structure;nucleus	"nucleotide metabolic process;DNA topological change;DNA-templated transcription, initiation;chromosome organization;nucleus"	SMARCA5;RSF1;
SNF2L-RSF1 complex	DNA conformation modification (e.g. chromatin);organization of chromosome structure;nucleus	DNA topological change;chromosome organization;nucleus	SMARCA1;RSF1;
Toposome	organization of chromosome structure;mitotic cell cycle;mitotic cell cycle and cell cycle control;DNA binding;nucleus	chromosome organization;mitotic cell cycle;regulation of cell cycle;DNA binding;nucleus	HNRNPC;TOP2A;DHX9;SSRP1;PRPF8;SRPK1;DDX21;
SCRIB-LGL2 complex	directional cell growth (morphogenesis);asymmetries and axis determination;eukaryotic plasma membrane / membrane attached;cytoplasm	anisotropic cell growth;axis specification;plasma membrane;cytoplasm	SCRIB;LLGL2;
CENP-A nucleosome associated complex	DNA imprinting and other epigenetic effects;centromere/kinetochore complex maturation;chromosome segregation/division;spindle pole body/centrosome and microtubule cycle;chromosome	regulation of gene expression by genetic imprinting;kinetochore assembly;chromosome segregation;spindle assembly;centrosome cycle;chromosome	CENPC;CENPU;CENPT;CENPN;CENPH;CENPM;
SCRIB-VANGL2 complex	asymmetries and axis determination;eukaryotic plasma membrane / membrane attached	axis specification;plasma membrane	SCRIB;VANGL2;
CEN complex	mitotic cell cycle;centromere/kinetochore complex maturation;spindle pole body/centrosome and microtubule cycle;chromosome	mitotic cell cycle;kinetochore assembly;spindle assembly;centrosome cycle;chromosome	SMARCA5;CENPB;HSPA5;HSPA8;FBL;BMI1;CENPA;KIF23;CENPC;RING1;SSRP1;CBX3;CUL4A;WTAP;DDB1;COBLL1;ZC3H13;KIAA1429;PLPPR3;CENPU;CENPL;NUP93;SHCBP1;DHX38;CENPI;ZFP91;RSF1;RNF2;CENPK;CENPO;SRRT;WDR11;RACGAP1;CENPH;CBX8;CENPM;SUPT16H;
Ppar(alpha)-Pric320 complex	transcription activation;nucleus	"positive regulation of transcription, DNA-templated;nucleus"	PPARA;CHD9;
SCRIB-APC complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);neuron;epithelium;synaptogenesis	anisotropic cell growth;axis specification;cell-cell junction assembly;neuron differentiation;epithelial cell differentiation;morphogenesis of an epithelium;synapse assembly	APC;SCRIB;
FACT-NEK9 complex	"DNA conformation modification (e.g. chromatin);G1/S transition of mitotic cell cycle;transcription elongation;modification by phosphorylation, dephosphorylation, autophosphorylation;organization of chromosome structure;nucleus"	"DNA topological change;G1/S transition of mitotic cell cycle;DNA-templated transcription, elongation;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;chromosome organization;nucleus"	SSRP1;NEK9;SUPT16H;
Scrib-APC-beta-catenin complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);neuron;epithelium;synaptogenesis	anisotropic cell growth;axis specification;cell-cell junction assembly;neuron differentiation;epithelial cell differentiation;morphogenesis of an epithelium;synapse assembly	CTNNB1;APC;SCRIB;
FACT complex	DNA conformation modification (e.g. chromatin);transcription elongation;organization of chromosome structure;nucleus	"DNA topological change;DNA-templated transcription, elongation;chromosome organization;nucleus"	SSRP1;SUPT16H;
"FACT complex, UV-activated"	"phosphate metabolism;modification by phosphorylation, dephosphorylation, autophosphorylation;protein binding;regulation by binding / dissociation;REGULATION OF METABOLISM AND PROTEIN FUNCTION;DNA damage response;electromagnetic waves stress response (e.g. UV, X-ray);nucleus"	phosphorus utilization;phosphate-containing compound metabolic process;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;protein binding;regulation of binding;regulation of biological process;cellular response to DNA damage stimulus;response to radiation;nucleus	CSNK2A2;CSNK2B;CSNK2A1;SSRP1;SUPT16H;
Dysferlin-Dhpr complex	protein binding	protein binding	CACNA1S;DYSF;
AnnexinVI-Fyn-Pyk2-RasGAP complex	protein binding;cellular signalling	protein binding;intracellular signal transduction	ANXA6;RASA1;PTK2B;FYN;
Arf1-Ap1g1-Ap1b1 complex	"protein binding;vesicular transport (Golgi network, etc.)"	protein binding;vesicle-mediated transport	AP1G1;AP1B1;ARF1;
Cd44-Ots8 complex	cell migration;cell growth / morphogenesis	cell migration;cell growth;endothelial cell proliferation	CD44;PDPN;
"Class C Vps complex (VPS11, VPS18, STX7)"	"vesicular transport (Golgi network, etc.);endosome;vacuole or lysosome"	vesicle-mediated transport;endosome;vacuole;lysosome	STX7;VPS11;VPS18;
"Class C Vps complex (VPS11, VPS18, VPS16)"	"vesicular transport (Golgi network, etc.);endosome;vacuole or lysosome"	vesicle-mediated transport;endosome;vacuole;lysosome	VPS16;VPS11;VPS18;
"Class C Vps complex (hVPS11, hVPS18, rVPS33a )"	"vesicular transport (Golgi network, etc.);endosome;vacuole or lysosome"	vesicle-mediated transport;endosome;vacuole;lysosome	VPS33A;VPS11;VPS18;
"Class C Vps complex (hVPS11, hVPS18, hVPS16, rVPS33a )"	"vesicular transport (Golgi network, etc.);endosome;vacuole or lysosome"	vesicle-mediated transport;endosome;vacuole;lysosome	VPS33A;VPS16;VPS11;VPS18;
CDC7-DBF7 complex	DNA synthesis and replication;regulation of DNA processing	DNA replication;regulation of DNA metabolic process	CDC7;DBF4;
Kif17-Lin10 complex	cytoskeleton-dependent transport;animal specific systemic sensing and response;neurogenesis;neuron	cytoskeleton-dependent intracellular transport;response to stimulus;neurogenesis;generation of neurons;neuron differentiation;regulation of synaptic plasticity	;KIF17;
"SNARE complex (Stx1a, Snap25, Stxbp5)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX1A;SNAP25;STXBP5;
Fmrp-Lgl complex	synaptogenesis	synapse assembly	FMR1;LLGL1;
Kif13a-AP1 complex	"protein transport;vesicular transport (Golgi network, etc.)"	protein transport;protein transporter activity;vesicle-mediated transport	AP1B1;AP1G1;AP1M1;KIF13A;
LLGL2-PAR-6B-PRKCI complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	PRKCI;LLGL2;PARD6B;
p97-Ufd1-Npl4 complex	phosphate metabolism;proteasomal degradation (ubiquitin/proteasomal pathway);unfolded protein response (e.g. ER quality control);cytoplasm	phosphorus utilization;phosphate-containing compound metabolic process;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;endoplasmic reticulum unfolded protein response;cytoplasm	VCP;UFD1L;NPLOC4;
Ufd1-Npl4 complex	proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm	UFD1L;NPLOC4;
LLGL1-PAR-6B-PRKCI complex	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	PRKCI;LLGL1;PARD6B;
p47-p97 complex	phosphate metabolism;vesicle fusion;Golgi;cytoplasm;Golgi	phosphorus utilization;phosphate-containing compound metabolic process;vesicle fusion;Golgi organization;cytoplasm;Golgi apparatus	NSFL1C;VCP;
Tamalin-mGluR1a-cytohesin complex	"protein targeting, sorting and translocation;protein transport;glutamate signalling pathway"	intracellular protein transport;protein targeting;protein transport;glutamate receptor signaling pathway	GRM1;CYTH2;GRASP;
Tamalin-mGluR1a complex	"protein targeting, sorting and translocation;protein transport;glutamate signalling pathway"	intracellular protein transport;protein targeting;protein transport;glutamate receptor signaling pathway	GRM1;GRASP;
Tamalin-mGluR5 complex	"protein targeting, sorting and translocation;protein transport;glutamate signalling pathway"	intracellular protein transport;protein targeting;protein transport;glutamate receptor signaling pathway	GRIK1;GRASP;
mPar6c-Mlgl-aPKC complex	directional cell growth (morphogenesis);asymmetries and axis determination;epithelium	anisotropic cell growth;axis specification;epithelial cell differentiation;morphogenesis of an epithelium	PRKCI;LLGL1;PARD6A;
Rab27a-Mlph-Myo5a complex	protein transport	protein transport	MLPH;MYO5A;RAB27A;
Pallidin-Mu complex	vacuole or lysosome	lysosome organization;vacuole organization	BLOC1S5;BLOC1S6;
Crb1-Mupp1-Pals1-Mpp4 complex	visual transduction;directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);eye;cell junction	visual perception;anisotropic cell growth;cell-cell junction assembly;eye development;cell junction	MPP4;MPDZ;CRB1;MPP5;
Rab11Fip2-Ap2a complex	receptor-mediated endocytosis	receptor-mediated endocytosis	AP2A1;RAB11FIP2;
Rab11-Fip2-Reps1 complex	"protein targeting, sorting and translocation;protein transport;receptor-mediated endocytosis"	intracellular protein transport;protein targeting;protein transport;receptor-mediated endocytosis	REPS1;RAB11FIP2;
Sec61alpha-CollagenIV-Hsp47 complex	"protein targeting, sorting and translocation;protein transport;assembly of protein complexes;endoplasmic reticulum"	intracellular protein transport;protein targeting;protein transport;protein complex assembly;endoplasmic reticulum	COL4A1;SERPINH1;SEC61A1;
EED-EZH2 complex	"DNA conformation modification (e.g. chromatin);RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	DNA topological change;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus	EED;RBBP4;SUZ12;EZH2;AEBP2;
Ocrl-Cdc42 complex	"protein targeting, sorting and translocation;protein transport;Golgi"	intracellular protein transport;protein targeting;protein transport;Golgi apparatus	CDC42;OCRL;
"SNARE complex (Stx4, Snap25, Vamp2, Syt1)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SYT1;SNAP25;VAMP2;STX4;
"SNARE complex (Stx3, Snap25, Vamp2, Syt1)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SYT1;SNAP25;VAMP2;STX3;
"SNARE complex (Stx2, Snap25, Vamp2, Syt1)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SYT1;STX2;SNAP25;VAMP2;
"SNARE complex (Stx1a, Snap25, Vamp2, Syt1)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SYT1;STX1A;SNAP25;VAMP2;
"SNARE complex (Stx2, Snap25, Vamp2, Cplx1)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX2;SNAP25;CPLX1;VAMP2;
"SNARE complex (Stx2, Snap25, Vamp2, Cplx2)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX2;SNAP25;VAMP2;CPLX2;
"SNARE complex (Stx3, Snap25, Vamp2, Cplx2)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	SNAP25;VAMP2;CPLX2;STX3;
Agap11-AP3 complex	"vesicular transport (Golgi network, etc.);endosome"	vesicle-mediated transport;endosome	AP3S2;AGAP1;AP3M2;AP3M1;AP3B1;
Tubulin polyglutamylase complex	reproductive tissue	reproductive structure development	TPGS2;TTLL1;LRRC49;TPGS1;NICN1;
Kif5a-Dtnb-Dtna complex	"protein targeting, sorting and translocation;protein transport;cell motility"	intracellular protein transport;protein targeting;protein transport;movement of cell or subcellular component	DTNB;KIF5A;DTNA;
